COUNT,Taxonomy,ssp,Collection,CATALOG,Country,Distrito,GeoGroup,Old_taxonomy1,Old_taxonomy2,New_Taxonomy,lat,lon,mclust2,mclust3,sex,CIL,GLS,ZB,MB,POC,BBC,CM3,M3M3,CB,SH
508,T. cirrhosus,cirrhosus,USNM,323116,Panama,Los Santos,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,7.28866,-80.7011,Cluster1,Cluster1,F,24.85,27.88,13.31,13.2,4.99,10.88,10.21,9.35,5.75,16.85
509,T. cirrhosus,cirrhosus,USNM,323117,Panama,Los Santos,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,7.28866,-80.7011,Cluster2,Cluster2,F,24.31,27.63,13.54,13.51,5.19,11.36,9.99,9.34,5.67,17.8
510,T. cirrhosus,cirrhosus,USNM,323118,Panama,Los Santos,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,7.28866,-80.7011,Cluster2,Cluster2,F,25.1,28.49,13.8,14.04,4.98,11.36,10.53,9.71,6.03,17.42
511,T. cirrhosus,cirrhosus,USNM,323119,Panama,Los Santos,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,7.28866,-80.7011,Cluster2,Cluster2,M,24.81,27.95,13.76,13.36,5.16,11.29,10.46,9.7,5.74,17.23
512,T. cirrhosus,cirrhosus,USNM,323120,Panama,Los Santos,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,7.28866,-80.7011,Cluster2,Cluster2,F,25.17,27.77,13.46,13.59,5.09,11.18,10.44,9.56,5.92,17.4
513,T. cirrhosus,cirrhosus,USNM,323121,Panama,Los Santos,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,7.28866,-80.7011,Cluster2,Cluster2,F,25.57,27.82,13.6,13.34,4.98,11.02,10.52,9.68,5.85,16.67
514,T. cirrhosus,cirrhosus,USNM,323123,Panama,Los Santos,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,7.28866,-80.7011,Cluster2,Cluster2,F,24.86,27.55,13.73,13.36,5.18,11.25,10.21,9.74,5.97,17.53
515,T. cirrhosus,cirrhosus,USNM,323124,Panama,Los Santos,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,7.28866,-80.7011,Cluster2,Cluster2,F,25.73,28.88,14.18,13.94,5.28,11.4,10.56,9.75,6.19,17.57
516,T. cirrhosus,cirrhosus,USNM,323125,Panama,Los Santos,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,7.28866,-80.7011,Cluster1,Cluster1,F,25.16,28.04,14.05,13.27,5.1,11.1,10.25,9.78,5.88,16.75
517,T. cirrhosus,cirrhosus,USNM,323126,Panama,Los Santos,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,7.28866,-80.7011,Cluster2,Cluster2,M,25.92,28.77,13.98,13.68,5.23,11.4,10.2,10.01,6.19,17.9
518,T. cirrhosus,cirrhosus,USNM,323127,Panama,Los Santos,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,9.15735, -79.42097,Cluster2,Cluster2,M,25.83,29.3,13.76,13.65,5.16,11.35,10.55,9.66,6,17.62
440,T. cirrhosus,cirrhosus,FMNH,92672,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.96667,-79.53333,Cluster1,Cluster1,F,24.72,28.03,13.84,13.09,5.18,11.36,10.21,9.91,6.15,17.68
441,T. cirrhosus,cirrhosus,FMNH,92673,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.96667,-79.53333,Cluster2,Cluster3,F,25.89,29.01,14.03,13.32,5.18,11.83,10.71,9.99,6.23,18.02
442,T. cirrhosus,cirrhosus,FMNH,92675,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.96667,-79.53333,Cluster2,Cluster2,F,25.57,28.45,14.28,13.32,5.35,11.6,10.53,10.22,6.09,17.84
443,T. cirrhosus,cirrhosus,FMNH,92677,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.96667,-79.53333,Cluster2,Cluster2,F,25.34,28,14.42,13.34,5.16,11.62,10.71,10.24,6.13,18.07
444,T. cirrhosus,cirrhosus,FMNH,92678,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.96667,-79.53333,Cluster2,Cluster2,F,24.96,28.8,14.55,13.12,5.14,11.46,10.65,10.06,6.02,18.41
445,T. cirrhosus,cirrhosus,FMNH,92680,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.96667,-79.53333,Cluster2,Cluster2,F,25.11,28.81,14.52,13.17,5.33,11.6,10.42,10.26,6.05,17.86
446,T. cirrhosus,cirrhosus,FMNH,92684,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.96667,-79.53333,Cluster2,Cluster2,F,24.52,27.78,13.72,13.15,5.13,11.44,10.22,10.11,5.99,17.04
447,T. cirrhosus,cirrhosus,FMNH,92685,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.96667,-79.53333,Cluster2,Cluster2,F,25.25,28.18,13.81,13.29,5.25,11.34,10.45,9.78,5.73,17.64
448,T. cirrhosus,cirrhosus,FMNH,92686,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.96667,-79.53333,Cluster2,Cluster2,F,25.04,28.19,14.35,12.82,5.26,11.4,10.22,9.92,6.25,18.31
449,T. cirrhosus,cirrhosus,FMNH,92679,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.96667,-79.53333,Cluster2,Cluster3,M,26.11,29.19,14.38,13.74,5.28,11.33,10.49,9.96,6.06,18.01
450,T. cirrhosus,cirrhosus,FMNH,92683,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.96667,-79.53333,Cluster2,Cluster2,M,25.01,27.9,14.46,13.19,5.22,11.42,10.8,10.5,6.21,17.33
462,T. cirrhosus,cirrhosus,AMNH,143757,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,9.0679,-79.64723,Cluster2,Cluster2,M,25.5,28.58,14.29,13.14,5.24,11.62,10.5,10.22,6.13,17.42
463,T. cirrhosus,cirrhosus,AMNH,147767,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,10.127882,-61.686852,Cluster2,Cluster2,F,25.42,28.68,14.29,13.32,5.28,11.5,10.76,10.08,6.18,17.67
464,T. cirrhosus,cirrhosus,USNM,305199,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.983333,-79.51667,Cluster2,Cluster2,F,25.48,28.72,13.93,13.16,4.93,11.71,10.57,9.77,5.8,17.63
465,T. cirrhosus,cirrhosus,USNM,305200,Panama,Panama City,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.983333,-79.51667,Cluster1,Cluster1,M,24.9,28.04,13.73,12.94,4.9,11.15,10.29,9.8,6.01,17.96
439,T. cirrhosus,cirrhosus,ROM,78556,Panama,Rio Changuinola,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,9.46667,-82.45,Cluster1,Cluster1,F,24.43,27.53,13.43,12.83,5.32,11.08,10.02,9.44,5.54,17.1
519,T. cirrhosus,cirrhosus,USNM,335145,Panama,San Blas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.627844,-77.442293,Cluster2,Cluster2,M,26.2,29.46,14.7,14.02,5.2,11.58,10.85,9.83,6.16,17.82
520,T. cirrhosus,cirrhosus,USNM,335146,Panama,San Blas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.627844,-77.442293,Cluster2,Cluster2,M,25.57,28.83,14.39,13.39,5.04,11.5,10.63,9.94,5.98,17.63
521,T. cirrhosus,cirrhosus,USNM,335147,Panama,San Blas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.627844,-77.442293,Cluster2,Cluster3,M,26.21,29.33,14.45,13.91,5.05,12.01,10.58,10.11,6.13,17.85
522,T. cirrhosus,cirrhosus,USNM,335148,Panama,San Blas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.627844,-77.442293,Cluster2,Cluster2,M,25.77,28.75,14.62,13.31,5,11.42,10.51,9.77,6,17.67
523,T. cirrhosus,cirrhosus,USNM,335149,Panama,San Blas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.627844,-77.442293,Cluster2,Cluster2,M,25.51,28.25,14.27,13.38,5.04,11.43,10.51,10.06,5.92,17.53
524,T. cirrhosus,cirrhosus,USNM,335150,Panama,San Blas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,8.627844,-77.442293,Cluster2,Cluster2,M,25.03,28.11,14.09,13.29,4.8,11.55,10.32,9.75,5.92,17.29
548,T. cirrhosus,cirrhosus,USNM,312986,Panama ,Chepo ,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,9.04,-79.19,Cluster2,Cluster3,M,26,29.3,14.81,13.99,5.48,11.93,10.96,10.39,6.41,17.98
549,T. cirrhosus,cirrhosus,USNM,312987,Panama ,Chepo ,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,9.04,-79.19,Cluster2,Cluster3,M,26,29.37,14.44,13.59,5.35,11.6,10.63,10.63,6.4,18.07
584,T. cirrhosus,cirrhosus,MVZ,157657,Peru,Amazonas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4.022,-77.751,Cluster1,Cluster1,F,25.01,28.18,13.85,12.9,5.23,11.43,10.39,9.66,5.96,17.73
551,T. cirrhosus,cirrhosus,MVZ,157666,Peru,Cuzco,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-12.6,-69.07289,Cluster2,Cluster2,M,25.95,29.21,14.63,13.6,5.2,11.74,10.39,9.96,6.51,17.7
559,T. cirrhosus,cirrhosus,LSUMZ,12074,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.133,-71.217,Cluster2,Cluster2,F,25.8,29.39,14.69,13.81,5.19,11.56,10.91,10.82,6.69,18.25
560,T. cirrhosus,cirrhosus,LSUMZ,12075,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.133,-71.217,Cluster2,Cluster2,F,25.83,29.02,14.32,13.51,5.15,11.3,10.82,10.33,6.1,17.74
561,T. cirrhosus,cirrhosus,LSUMZ,12076,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.133,-71.217,Cluster2,Cluster3,F,26.25,29.27,14.5,13.59,5.33,11.33,10.8,10.39,6.48,17.58
562,T. cirrhosus,cirrhosus,LSUMZ,12078,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.133,-71.217,Cluster2,Cluster2,F,25.45,28.49,14.2,13.5,5.26,11.53,10.4,10.1,6.13,16.8
563,T. cirrhosus,cirrhosus,LSUMZ,12072,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.133,-71.217,Cluster2,Cluster3,M,26.51,29.78,14.94,14.19,5.53,11.6,10.73,10.74,6.41,17.86
564,T. cirrhosus,cirrhosus,LSUMZ,12073,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.133,-71.217,Cluster2,Cluster3,M,25.8,29.17,14.12,13.42,5.31,11.38,10.66,10.13,6.15,17.65
565,T. cirrhosus,cirrhosus,LSUMZ,16459,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.133,-71.217,Cluster2,Cluster3,M,26.41,29.91,14.5,13.71,5.37,12.01,11.02,10.25,6.35,17.76
566,T. cirrhosus,cirrhosus,LSUMZ,16460,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.133,-71.217,Cluster2,Cluster2,M,25.73,29.28,14.83,13.58,5.18,11.5,10.65,10.47,6.39,17.55
572,T. cirrhosus,cirrhosus,MVSM,1204,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.08,-71.13,Cluster2,Cluster2,F,25.74,28.97,14.43,13.63,5.39,11.49,10.97,10.65,6.15,17.8
573,T. cirrhosus,cirrhosus,FMNH,29450,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-3.333333333,-71.81666667,Cluster2,Cluster2,M,25.17,28.18,14.28,13.18,5.39,11.67,10.17,9.69,6.04,17.4
574,T. cirrhosus,cirrhosus,VK,550,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-7.05,-74.06,Cluster2,Cluster2,F,25.86,28.63,14.47,13.34,5.25,11.62,10.75,10.34,6.32,17.34
575,T. cirrhosus,cirrhosus,CA,1507,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-2.31,-76.1,Cluster2,Cluster2,F,25.38,28.61,13.86,13.58,5.32,11.3,10.49,10.43,6.27,17.78
576,T. cirrhosus,cirrhosus,CA,1546,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-2.31,-76.1,Cluster2,Cluster2,F,25.17,28.22,14.23,13.48,5.24,11.47,10.59,10.23,6.25,17.85
577,T. cirrhosus,cirrhosus,CA,1545,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-2.31,-76.1,Cluster2,Cluster2,M,25.5,28.88,14.53,13.63,5.33,11.61,10.58,9.91,6.29,17.75
578,T. cirrhosus,cirrhosus,CA,1342,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-2.26,-75.45,Cluster1,Cluster1,F,24.62,27.34,13.73,12.85,4.9,11.02,10.07,9.61,5.81,16.64
579,T. cirrhosus,cirrhosus,CA,1420,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-2.26,-75.45,Cluster2,Cluster3,M,26.68,29.85,14.72,14.01,5.52,11.84,10.98,10.16,6.27,17.77
580,T. cirrhosus,cirrhosus,CA,1421,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-2.26,-75.45,Cluster2,Cluster2,M,25.73,28.71,13.89,13.35,5.22,11.1,10.45,10.09,5.97,16.13
587,T. cirrhosus,cirrhosus,FMNH,89033,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4.45,-71.78333333,Cluster2,Cluster3,F,26.46,29.95,14.74,13.43,5.51,11.55,11.01,10.74,6.53,18.88
588,T. cirrhosus,cirrhosus,FMNH,89034,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4.45,-71.78333333,Cluster2,Cluster2,F,26.21,29.14,14.21,13.04,5.1,11.03,10.69,9.75,6.18,17.55
589,T. cirrhosus,cirrhosus,FMNH,89035,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4.45,-71.78333333,Cluster2,Cluster2,F,26.68,29.14,14.58,13.46,5.31,11.62,10.79,10.42,6.35,17.05
590,T. cirrhosus,cirrhosus,FMNH,89031,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4.45,-71.78333333,Cluster2,Cluster2,M,25.88,29.18,14.76,12.97,5.54,11.9,10.65,10,6.1,18.08
591,T. cirrhosus,cirrhosus,FMNH,89032,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4.45,-71.78333333,Cluster2,Cluster2,M,26.01,28.98,15.14,13.62,5.15,11.17,10.51,10.26,6.09,17.52
592,T. cirrhosus,cirrhosus,FMNH,89027,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4,-77.33333333,Cluster2,Cluster2,F,24.67,27.96,14.06,13.24,5.11,11.34,10.36,10.12,6.05,17.28
593,T. cirrhosus,cirrhosus,FMNH,89028,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4,-77.33333333,Cluster2,Cluster1,F,25.43,28.31,13.98,13.25,5.2,11.09,10.56,9.95,6.04,17.4
594,T. cirrhosus,cirrhosus,FMNH,89029,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4,-77.33333333,Cluster1,Cluster1,F,24.53,27.97,13.65,12.75,5.12,11.03,10.23,9.87,5.94,17.44
595,T. cirrhosus,cirrhosus,FMNH,89030,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4,-77.33333333,Cluster2,Cluster3,F,25.83,29.25,14.39,13.67,5.25,11.46,10.44,9.93,6.25,17.61
596,T. cirrhosus,cirrhosus,FMNH,89026,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4,-77.33333333,Cluster2,Cluster2,M,24.66,27.52,13.66,12.85,5.18,10.85,10.25,9.64,5.54,16.73
597,T. cirrhosus,cirrhosus,AMNH,74026,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-3.43333,-72.13333,Cluster2,Cluster2,M,26.31,29.83,14.53,13.34,5,11.58,11.04,10.5,6.53,18.07
598,T. cirrhosus,cirrhosus,BM,243130,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4.3,-73.27,Cluster2,Cluster2,M,25.8,29.83,14.36,13.6,5.14,11.41,10.71,10.13,6.25,17.66
599,T. cirrhosus,cirrhosus,BM,243131,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4.3,-73.27,Cluster2,Cluster3,M,26.03,29.53,14.09,13.4,5.23,11.68,10.58,9.9,6.18,17.8
600,T. cirrhosus,cirrhosus,BM,243132,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4.3,-73.27,Cluster2,Cluster2,M,25.55,29.25,14.53,13.42,5.32,11.37,10.35,10.2,6.06,17.31
601,T. cirrhosus,cirrhosus,BM,243133,Peru,Loreto,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-4.3,-73.27,Cluster2,Cluster2,F,25.75,28.93,14.81,13.7,5.29,11.46,10.38,10.12,6.22,17.84
567,T. cirrhosus,cirrhosus,MVSM,5102,Peru,Madre de Dios,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-11.54,-71.22,Cluster2,Cluster3,M,26.3,29.59,14.48,13.84,5.28,11.43,10.94,10.21,6.38,18.04
568,T. cirrhosus,cirrhosus,NA,6770,Peru,Madre de Dios,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-11.57,-71.17,Cluster2,Cluster2,F,25.85,29.71,14.78,13.66,5.46,12.05,10.94,10.26,6.23,17.67
569,T. cirrhosus,cirrhosus,NA,6771,Peru,Madre de Dios,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-11.57,-71.17,Cluster2,Cluster2,M,26.12,29.96,15.01,13.92,5.33,11.45,10.65,10.65,6.38,18.14
570,T. cirrhosus,cirrhosus,MVSM,6257,Peru,Madre de Dios,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-12.33,-69.03,Cluster2,Cluster2,F,26.2,29.34,14.64,13.79,5.22,11.49,10.96,10.48,6.52,17
571,T. cirrhosus,cirrhosus,MVSM,1205,Peru,Madre de Dios,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-12.44,-69.11,Cluster2,Cluster2,F,26.08,29.43,14.67,13.88,5.48,11.42,10.75,10.46,6.15,17.42
585,T. cirrhosus,cirrhosus,FMNH,84390,Peru,Madre de Dios,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-12.25,-70.83333333,Cluster2,Cluster3,M,26.42,29.48,14.52,13.98,5.72,11.79,10.72,10.11,6.3,17.47
586,T. cirrhosus,cirrhosus,FMNH,84391,Peru,Madre de Dios,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-12.25,-70.83333333,Cluster2,Cluster2,M,25.95,29.36,14.93,13.75,5.39,11.55,10.63,10.56,6.46,17.33
602,T. cirrhosus,cirrhosus,USNM,566489,Peru,Madre De Dios,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-11.991371,-71.22692,Cluster2,Cluster3,M,25.78,29.33,14.85,14.06,5.57,11.68,10.7,10.36,6.38,17.89
603,T. cirrhosus,cirrhosus,USNM,566490,Peru,Madre De Dios,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-11.944905,-71.282687,Cluster2,Cluster2,M,25.59,28.38,14.05,13.26,5.31,11.39,10.65,10.02,6.2,16.97
604,T. cirrhosus,cirrhosus,USNM,566491,Peru,Madre De Dios,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-11.944905,-71.282687,Cluster2,Cluster2,F,26.58,29.71,15.26,14.03,5.41,11.9,11.26,11.04,6.59,18.73
552,T. cirrhosus,cirrhosus,MVZ,166652,Peru,Madre de Dios ,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-12.849127,-71.387626,Cluster2,Cluster2,M,25.81,28.66,14.83,13.88,5.3,11.55,10.66,10.16,6.35,18.06
553,T. cirrhosus,cirrhosus,MVZ,166653,Peru,Madre de Dios ,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-12.6683,-71.269,Cluster2,Cluster3,F,25.9,29.32,14.64,13.72,5.4,11.58,10.76,10.31,6.43,17.39
550,T. cirrhosus,cirrhosus,USNM,364272,Peru,Oxapampa,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.37111,-76.19802,Cluster2,Cluster2,M,26.12,30.06,14.39,13.45,5.17,11.24,10.89,9.9,6.15,17.4
583,T. cirrhosus,cirrhosus,AMNH,230213,Peru,Oxapampa,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.37111,-76.19802,Cluster2,Cluster2,F,24.77,27.88,14.1,13.09,5.53,11.25,10.38,10.3,6.15,17.4
554,T. cirrhosus,cirrhosus,MVZ,136414,Peru,Ucayali,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.13333333,-71.21666667,Cluster2,Cluster2,F,25.63,28.77,14.53,13.54,5.16,11.43,10.53,10.08,6.11,17.54
555,T. cirrhosus,cirrhosus,MVZ,136413,Peru,Ucayali,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.13333333,-71.21666667,Cluster2,Cluster3,M,26.42,30.1,15.15,14.19,5.42,11.7,10.56,10.15,6.26,18.17
556,T. cirrhosus,cirrhosus,MVZ,136415,Peru,Ucayali,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.13333333,-71.21666667,Cluster2,Cluster2,M,26.36,29.62,14.49,13.94,5.3,11.4,10.86,9.96,6.38,17.13
557,T. cirrhosus,cirrhosus,MVZ,136416,Peru,Ucayali,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.13333333,-71.21666667,Cluster2,Cluster3,M,26.36,30.28,14.53,14.03,5.14,11.8,10.9,10.44,6.38,18
558,T. cirrhosus,cirrhosus,MVZ,136417,Peru,Ucayali,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-10.13333333,-71.21666667,Cluster2,Cluster2,M,26.51,29.71,14.82,14.04,5.18,11.34,11.09,10.25,6.48,17.57
581,T. cirrhosus,cirrhosus,AMNH,76162,Peru,Ucayali,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-6.3906,-75.18591,Cluster2,Cluster2,M,26.24,28.94,13.96,13.26,5.17,11.2,11.05,10.3,6.12,18.63
582,T. cirrhosus,cirrhosus,AMNH,76163,Peru,Ucayali,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,-6.3906,-75.18591,Cluster2,Cluster1,F,25.44,28.62,13.82,13.31,5.26,11.22,10.2,9.91,5.95,16.38
614,T. cirrhosus,cirrhosus,RNH,25247,Suriname,Afobakaweg,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,5.25,-55.2,Cluster2,Cluster3,M,26.85,29.64,14.67,13.64,5.23,11.65,10.82,10.15,6.41,18.6
606,T. cirrhosus,cirrhosus,SMNH,52781,Suriname,Brokopondo,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,5.25,-55.3,Cluster2,Cluster3,M,26.63,30.31,15.25,14.36,5.49,11.74,10.87,10.1,6.65,19.29
607,T. cirrhosus,cirrhosus,SMNH,52782,Suriname,Brokopondo,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,5.25,-55.3,Cluster2,Cluster2,M,27.07,30.67,15.41,14.81,5.07,11.66,11.13,10.62,6.55,19.18
605,T. cirrhosus,cirrhosus,SMNH,68410,Suriname,Sipaliwini,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,4.51,-57.24,Cluster2,Cluster3,F,26.61,30.1,15.22,14.27,5.38,11.81,11.19,10.65,6.6,19
609,T. cirrhosus,cirrhosus,SMNH,63688,Suriname,Sipaliwini,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,3.47,-56.1,Cluster2,Cluster2,M,26.16,29.42,14.61,14.16,5.25,11.71,11.05,10.75,6.45,17.46
610,T. cirrhosus,cirrhosus,SMNH,63689,Suriname,Sipaliwini,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,2.02,-56.07,Cluster2,Cluster3,F,27.44,30.73,15.33,14.41,5.42,11.98,11.23,10.67,6.52,18.65
611,T. cirrhosus,cirrhosus,RNH,25246,Suriname,"Suriname N entre Pawakka, Zanderj e Sabakoe",,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,5.44,-55.15,Cluster2,Cluster3,M,26.54,29.92,15.2,13.99,5.39,11.95,10.68,10.41,6.39,19.18
612,T. cirrhosus,cirrhosus,RNH,25244,Suriname,"Suriname N entre Pawakka, Zanderj e Sabakoe",,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,5.44,-55.15,Cluster2,Cluster2,M,26.29,29.55,14.61,13.86,5.1,11.53,10.45,10.63,6.53,17.55
613,T. cirrhosus,cirrhosus,RNH,25245,Suriname,"Suriname N entre Pawakka, Zanderj e Sabakoe",,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,5.44,-55.15,Cluster2,Cluster3,M,26.58,29.97,14.87,14.5,5.25,11.79,10.66,10.02,6.43,18.88
608,T. cirrhosus,cirrhosus,SMNH,63691,Suriname,West-central Suriname,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,4.44,-56.12,Cluster2,Cluster2,M,25.9,29.49,14.61,13.84,5.35,11.55,11,10.46,6.41,17.33
615,T. cirrhosus,cirrhosus,AMNH,256313,Trindad and Tobago,Saint Patrick,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,10.1811,-61.54578,Cluster2,Cluster3,F,26.58,29.92,15.19,14.4,5.61,12.25,11.2,10.62,6.54,18.24
616,T. cirrhosus,cirrhosus,AMNH,175602,Trindad and Tobago,Saint Patrick,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,7.86667,-80.35,Cluster2,Cluster3,F,27.5,30.57,15.52,14.62,5.31,12.18,11.32,10.92,6.35,18.7
651,T. cirrhosus,cirrhosus,USNM,388858,Venezuela,Amazonas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,2.25,-65.28,Cluster2,Cluster2,M,25.45,29.05,14.6,13.92,5.45,11.82,10.58,10.42,6.17,18.1
652,T. cirrhosus,cirrhosus,USNM,388859,Venezuela,Amazonas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,2.25,-65.28,Cluster2,Cluster2,M,26,29.82,14.95,14.16,5.34,11.56,10.85,10.63,6.55,17.66
653,T. cirrhosus,cirrhosus,USNM,388861,Venezuela,Amazonas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,2.25,-65.28,Cluster2,Cluster2,F,26.2,29.47,14.48,13.9,5.58,12.09,10.95,10.35,6.54,17.59
654,T. cirrhosus,cirrhosus,USNM,388862,Venezuela,Amazonas,,T. cirrhosus,T. c. cirrhosus,T. cirrhosus,2.25,-65.28,Cluster2,Cluster2,F,26.19,29.05,14.17,13.65,5.48,11.64,10.93,10.24,6.34,17.05
