"","sp","x","y","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"51","cirrhosus",-54.4341,-17.5388,23.2788333892822,13.0436668395996,65.2444305419922,187.873977661133,31.7280006408691,11.7360000610352,19.992000579834,24.5486660003662,20.6106662750244,24.8853340148926,20.5873336791992,1560,278,16,71.1849975585938,747,63,572,102
"52","cirrhosus",-54.64,-16.45,24.3233337402344,13.0980005264282,65.5293121337891,188.452819824219,32.9480018615723,12.960000038147,19.9880027770996,25.6299991607666,21.5973339080811,25.8413333892822,21.5973339080811,1597,277,11,73.9291000366211,761,45,601,45
"53","cirrhosus",-47.09,-16.03,21.2428340911865,12.1310005187988,67.8012542724609,144.012252807617,28.8880004882812,10.996000289917,17.8920001983643,21.9946670532227,19.1766662597656,22.32200050354,19.1480007171631,1426,275,7,86.4999313354492,754,23,371,40
"54","cirrhosus",-64.8664,-15.8181,25.7133331298828,10.5673332214355,63.1715240478516,177.564086914062,32.9280014038086,16.2000007629395,16.7280006408691,27.1613330841064,23.2113342285156,27.2140007019043,23.2113342285156,2735,424,75,56.4120635986328,1195,255,858,255
"55","cirrhosus",-56.1,-15.6,25.4648323059082,12.1563339233398,67.4901885986328,147.94221496582,33.3920021057129,15.3800001144409,18.0120010375977,26.5966663360596,23.3613338470459,26.6639995574951,23.3600006103516,1438,216,16,67.025505065918,632,56,592,103
"56","cirrhosus",-63.083,-15.433,25.658166885376,10.360333442688,64.7682723999023,143.388397216797,32.9640007019043,16.9680004119873,15.996000289917,26.503999710083,23.8273334503174,27.1040000915527,23.5973339080811,1194,196,25,64.1035003662109,543,97,402,123
"57","cirrhosus",-55.8333,-15.25,23.25950050354,12.8916664123535,72.0365829467773,133.40690612793,30.7199993133545,12.8240003585815,17.8959999084473,24.4293327331543,21.3306655883789,24.4293327331543,21.3306655883789,1469,222,14,67.9940872192383,648,57,648,57
"58","cirrhosus",-60.6724,-14.8333,25.5820007324219,11.5806674957275,67.3921508789062,138.479553222656,33.0279998779297,15.8439998626709,17.1840000152588,26.4006671905518,23.7473335266113,26.8793334960938,23.5400009155273,1440,253,12,72.8467025756836,685,58,488,86
"59","cirrhosus",-61.0347,-14.7664,25.8691673278809,11.6736669540405,66.2523651123047,138.049560546875,33.6160011291504,15.996000289917,17.6200008392334,26.6599998474121,24.0493335723877,27.1693344116211,23.8339996337891,1414,247,12,72.6125564575195,673,57,487,86
"60","cirrhosus",-52.3598,-14.7197,24.5656661987305,13.7560005187988,68.3154525756836,144.131637573242,33.2880020141602,13.1520004272461,20.1360015869141,25.3526668548584,22.521333694458,25.8273334503174,22.4820003509521,1563,273,4,81.508674621582,755,22,429,42
"61","cirrhosus",-66.183,-14.483,25.7848339080811,10.2423343658447,63.5538177490234,150.707443237305,32.8959999084473,16.7799987792969,16.1160011291504,26.8946666717529,23.6573333740234,27.0780010223389,23.6573333740234,1766,276,35,61.9251747131348,790,131,546,131
"62","cirrhosus",-67.9215,-14.4268,24.5316677093506,10.4980001449585,67.4505233764648,151.027740478516,31.3479995727539,15.7839994430542,15.5640001296997,25.7859992980957,23.0839996337891,25.8506660461426,22.3800010681152,1872,284,66,53.1976280212402,800,209,696,214
"63","cirrhosus",-69.6111,-13.1472,25.0125007629395,9.90233325958252,73.047607421875,102.565635681152,31.3039989471436,17.7479991912842,13.5559997558594,25.7600002288818,23.5566673278809,25.8519992828369,23.5393333435059,3297,492,126,49.6240844726562,1380,400,1009,429
"64","cirrhosus",-64.8,-13.0667,26.7781677246094,10.8070001602173,67.6791152954102,93.6970062255859,34.0999984741211,18.1319999694824,15.9679985046387,27.0939998626709,25.5726661682129,27.771333694458,25.4099998474121,1563,252,20,66.7155303955078,710,71,372,111
"66","cirrhosus",-69.283,-12.85,25.2224998474121,10.2189998626709,72.3110656738281,103.192420959473,31.7240009307861,17.5920009613037,14.1319999694824,25.9313335418701,23.767333984375,26.1020011901855,23.7320003509521,2476,374,77,55.5823440551758,1065,240,782,275
"67","cirrhosus",-71.3876,-12.8491,23.2601661682129,10.7303333282471,79.436882019043,79.1295623779297,29.9039993286133,16.3959999084473,13.507999420166,23.7439994812012,22.1679992675781,23.9720001220703,22.1180000305176,3086,436,115,44.4137229919434,1217,388,880,403
"68","cirrhosus",-71.3854,-12.7717,24.230167388916,10.4303331375122,79.5237426757812,80.0910949707031,30.6359996795654,17.5200004577637,13.1159992218018,24.757999420166,23.1106662750244,24.9133338928223,23.0799999237061,3263,467,123,44.1941413879395,1280,413,947,431
"69","cirrhosus",-63.2371,-12.6996,25.6660003662109,10.977334022522,71.8788146972656,74.4564895629883,32.7000007629395,17.42799949646,15.2720012664795,25.9039993286133,24.7446670532227,26.3360004425049,24.5433330535889,1512,250,8,71.6051483154297,701,48,360,96
"70","cirrhosus",-71.269,-12.6683,24.4508323669434,10.2536659240723,79.0446090698242,81.5938186645508,30.7759990692139,17.8039989471436,12.9720001220703,25.0053329467773,23.3026657104492,25.1386661529541,23.2773323059082,3425,491,132,44.1102066040039,1346,435,1001,454
"71","cirrhosus",-71.2278,-12.6667,24.3303337097168,10.2233333587646,78.6652297973633,81.9242935180664,30.6720008850098,17.6760005950928,12.996000289917,24.8846664428711,23.1800003051758,25.0359992980957,23.1499996185303,3511,498,142,43.019702911377,1367,459,1018,481
"72","cirrhosus",-69.0729,-12.6,25.3843326568604,10.3533334732056,72.0783386230469,102.071487426758,31.923999786377,17.5599994659424,14.3640003204346,26.0599994659424,23.9580001831055,26.2679996490479,23.8986663818359,2083,316,54,58.5764808654785,905,173,668,211
"73","cirrhosus",-46.5164,-12.5815,25.7115001678467,11.9689998626709,69.5225372314453,92.2314300537109,34.2999992370605,17.0839996337891,17.2159996032715,25.6093330383301,24.9459991455078,26.8920001983643,24.7306671142578,1474,270,2,87.1247940063477,752,11,161,30
"74","cirrhosus",-70.8333,-12.25,24.7391662597656,10.2383327484131,75.8619842529297,88.9847717285156,31.0799999237061,17.5839996337891,13.496000289917,25.3593330383301,23.4633331298828,25.5020008087158,23.4633331298828,3224,455,111,46.1160774230957,1274,375,983,375
"75","cirrhosus",-71.2269,-11.9914,25.0023326873779,10.3746671676636,77.2384338378906,82.0519714355469,31.3640003204346,17.931999206543,13.4320011138916,25.5559997558594,23.8239994049072,25.7140007019043,23.8239994049072,2723,382,89,47.6822891235352,1077,294,841,294
"76","cirrhosus",-71.2827,-11.9449,24.9584999084473,10.3990001678467,77.3274841308594,81.1544342041016,31.3120002746582,17.8640003204346,13.4479999542236,25.5006675720215,23.7953338623047,25.6633338928223,23.7953338623047,2665,373,85,47.8470573425293,1053,285,823,285
"77","cirrhosus",-37.2058,-11.015,25.3610000610352,6.98933267593384,69.010009765625,117.191772460938,30.3519992828369,20.2240009307861,10.1279983520508,25.2013339996338,26.2006664276123,26.6146659851074,23.8313331604004,1680,313,50,62.59716796875,782,172,283,439
"78","cirrhosus",-46.75,-10.55,24.8276672363281,13.2866668701172,68.5586471557617,88.2991104125977,34.2360000610352,14.8559999465942,19.3800010681152,24.7726669311523,23.843334197998,25.9366664886475,23.7693328857422,1312,231,1,83.8118743896484,649,9,329,34
"79","cirrhosus",-37.05,-10.5333,24.4506664276123,7.94933366775513,66.3772048950195,148.899520874023,30.496000289917,18.5200004577637,11.9759998321533,23.0973320007324,25.5606670379639,26.007999420166,22.4486656188965,1209,207,33,64.8636779785156,571,104,181,487
"80","cirrhosus",-76.198,-10.3711,12.804666519165,13.6800003051758,80.2063751220703,61.3779525756836,20.3560009002686,3.29999995231628,17.056001663208,13.0260000228882,11.9079999923706,13.4259996414185,11.9079999923706,751,117,10,64.9650802612305,342,42,249,42
"81","cirrhosus",-71.217,-10.133,24.9551658630371,10.9036664962769,77.0032958984375,71.8299713134766,31.42799949646,17.2679996490479,14.1599998474121,25.5646667480469,23.9053344726562,25.6166667938232,23.9053344726562,1855,245,31,55.1046714782715,714,128,632,128
"82","cirrhosus",-64.37,-9.45,25.9068336486816,10.9569997787476,74.093864440918,51.6482849121094,32.9599990844727,18.1720008850098,14.7879981994629,25.9899997711182,25.2593326568604,26.4580001831055,25.1900005340576,1958,292,23,61.7610664367676,831,96,457,168
"83","cirrhosus",-74.55,-9.366,24.8549995422363,11.3740005493164,84.6783905029297,39.206428527832,31.3759994506836,17.9440002441406,13.431999206543,25.1199989318848,24.3740005493164,25.3199996948242,24.3740005493164,2050,266,69,41.8163566589355,735,238,563,238
"84","cirrhosus",-74.516,-9.35,26.1338329315186,11.0096664428711,86.0937423706055,36.8046684265137,32.2999992370605,19.5120010375977,12.7879981994629,26.3906669616699,25.593334197998,26.4559993743896,25.593334197998,1988,273,65,43.0948219299316,723,224,691,224
"85","cirrhosus",-64.73,-9.28,26.0930004119873,10.8273334503174,74.8364181518555,51.0352973937988,33.0120010375977,18.5440006256104,14.4680004119873,26.1526660919189,25.4599990844727,26.6526679992676,25.3893337249756,1900,271,25,59.6515502929688,789,100,454,172
"86","cirrhosus",-36.4206,-9.2442,20.4435005187988,7.51633358001709,67.158088684082,141.611785888672,26.2560005187988,15.0640001296997,11.1920003890991,19.1560001373291,21.32200050354,21.8439998626709,18.5919990539551,1228,213,22,66.7688827514648,601,95,189,415
"87","cirrhosus",-64.62,-9.15,26.0058326721191,10.7970008850098,74.503173828125,49.582893371582,32.9519996643066,18.4599990844727,14.492000579834,26.0613327026367,25.3993339538574,26.5480003356934,25.3199996948242,1960,285,24,60.6143264770508,823,101,464,169
"88","cirrhosus",-64.48,-9.12,25.9868335723877,10.8783340454102,74.1637191772461,49.0455551147461,33.015998840332,18.3479995727539,14.6679992675781,26.0493335723877,25.3819999694824,26.5226669311523,25.3066673278809,2006,294,24,60.9569511413574,846,102,471,173
"89","cirrhosus",-42.6992,-9.0156,26.5166664123535,14.5060005187988,78.0228118896484,100.892471313477,35.3919982910156,16.7999992370605,18.5919990539551,26.8746681213379,25.0566673278809,27.5573329925537,25.0566673278809,741,145,1,88.786865234375,375,7,242,7
"90","cirrhosus",-36.05,-8.9667,22.908166885376,8.16499996185303,68.6134338378906,141.906173706055,29.2760009765625,17.3759994506836,11.9000015258789,21.5106658935547,23.71266746521,24.3400001525879,20.9526672363281,1427,251,30,63.6018447875977,657,122,228,642
"91","cirrhosus",-58.5744,-8.9265,25.7501659393311,11.1070003509521,67.6760940551758,36.3785705566406,34,17.5880012512207,16.4119987487793,25.4693336486816,25.6553325653076,26.238000869751,25.4693336486816,1953,308,7,70.2920379638672,895,56,263,895
"92","cirrhosus",-35.1764,-8.7304,23.9361667633057,6.26166677474976,68.5083923339844,105.572959899902,28.3519992828369,19.2119998931885,9.13999938964844,23.1093330383301,24.3306655883789,25.0666675567627,22.5246658325195,1923,300,43,60.0454521179199,858,157,394,566
"93","cirrhosus",-35.1586,-8.6639,24.2014999389648,6.40233325958252,68.6650848388672,105.316062927246,28.7040004730225,19.3799991607666,9.32400131225586,23.3686676025391,24.6013336181641,25.3293342590332,22.8020000457764,2052,310,42,60.2227210998535,912,155,429,595
"94","cirrhosus",-39.6017,-8.62,24.7875003814697,11.0703325271606,69.5372772216797,165.019561767578,32.439998626709,16.5200004577637,15.9199981689453,25.7126655578613,24.2746658325195,26.3033332824707,22.4106674194336,438,119,2,102.780731201172,270,8,124,16
"95","cirrhosus",-35.06,-8.45,24.7169990539551,6.81866693496704,70.0643920898438,105.403900146484,29.488000869751,19.7560005187988,9.73200035095215,23.8666667938232,25.1413345336914,25.8453330993652,23.3153343200684,1770,269,36,59.3041114807129,774,134,385,511
"96","cirrhosus",-37.0539,-8.4189,22.1868343353271,9.89499950408936,70.9217300415039,145.089630126953,29.5279998779297,15.576000213623,13.9519996643066,22.9153327941895,22.4326667785645,23.7486667633057,20.3346672058105,702,130,15,62.3704223632812,321,58,107,168
"97","cirrhosus",-37.0047,-8.3725,20.9484996795654,9.57499980926514,71.0522384643555,142.505630493164,28.0960006713867,14.6199998855591,13.4760007858276,21.1326675415039,21.2173328399658,22.4799995422363,19.0886669158936,794,139,14,62.662467956543,350,59,99,223
"98","cirrhosus",-36.3667,-8.35,21.6276664733887,9.11866664886475,68.9137420654297,161.292144775391,28.7040004730225,15.4720001220703,13.2320003509521,22.1199989318848,21.8786659240723,23.1746673583984,19.3373336791992,662,123,13,64.0807189941406,307,50,133,172
"99","cirrhosus",-42.35,-8.3167,26.818000793457,13.9693336486816,77.7629318237305,101.899032592773,35.560001373291,17.5960006713867,17.9640007019043,27.1146659851074,25.4020004272461,27.945333480835,25.4020004272461,711,154,1,95.5294494628906,391,5,205,5
"100","cirrhosus",-35.7919,-8.1917,21.7696666717529,8.9419994354248,70.1443405151367,139.239044189453,28.4039993286133,15.6560001373291,12.7479991912842,22.3126659393311,21.779333114624,23.2319984436035,19.8326663970947,658,102,10,62.688117980957,278,48,176,222
"101","cirrhosus",-34.9667,-8.0833,24.9723339080811,7.52400016784668,73.2476577758789,102.069190979004,29.9640007019043,19.6919994354248,10.2720012664795,24.0939998626709,25.4093322753906,26.050666809082,23.6019992828369,1431,228,24,63.3349418640137,635,94,312,563
"102","cirrhosus",-34.8769,-8.0475,25.4976444244385,7.74746370315552,74.5571823120117,100.167488098145,30.5739135742188,20.1826095581055,10.3913040161133,25.2840576171875,25.9500007629395,26.5666675567627,24.1499996185303,1599,235,30,60.7481269836426,678,112,372,587
"103","cirrhosus",-39.7403,-7.5583,23.962833404541,10.856333732605,70.13134765625,141.236328125,31.7240009307861,16.2439994812012,15.480001449585,24.2426662445068,23.8406677246094,25.5773334503174,22.0960006713867,825,187,10,85.2887802124023,452,37,218,64
"104","cirrhosus",-39.7035,-7.5566,23.9535007476807,10.8596668243408,69.8101501464844,143.410537719727,31.7280006408691,16.1720008850098,15.5559997558594,24.2406673431396,23.8333339691162,25.5880012512207,22.0540008544922,836,190,10,85.5727081298828,459,38,223,64
"105","cirrhosus",-36.2833,-7.4833,23.406665802002,9.02933311462402,71.1867980957031,139.976593017578,29.8999996185303,17.2159996032715,12.6840000152588,24.6073341369629,23.4139995574951,24.8033332824707,21.4513320922852,414,96,3,84.9370193481445,222,14,148,101
"106","cirrhosus",-36.8944,-7.4719,22.0690002441406,8.97066688537598,71.3997573852539,135.102294921875,28.6520004272461,16.0879993438721,12.564001083374,23.0246658325195,22.3033332824707,23.3360004425049,20.1333332061768,623,157,3,100.484199523926,389,12,143,103
"107","cirrhosus",-63.1,-7.22,26.0405006408691,10.3976669311523,74.0152893066406,40.9247512817383,33.1679992675781,19.1200008392334,14.0479984283447,25.7859992980957,25.8806667327881,26.5893325805664,25.6326675415039,2220,319,28,55.6034126281738,886,139,338,240
"108","cirrhosus",-34.85,-7.14,25.7583332061768,8.6966667175293,76.1796264648438,91.1931076049805,31.1520004272461,19.7360000610352,11.4160003662109,25.6000003814697,26.2080001831055,26.6539993286133,24.4213333129883,1938,321,42,62.5387229919434,858,147,433,755
"109","cirrhosus",-34.8667,-7.1167,25.8990001678467,8.43400001525879,75.9819793701172,88.2399520874023,31.1240005493164,20.0240001678467,11.1000003814697,25.7666664123535,26.3153343200684,26.7653331756592,24.6059989929199,1940,330,42,64.8602447509766,877,140,433,762
"110","cirrhosus",-37.3833,-7.0167,26.1406669616699,9.18866729736328,76.1155319213867,103.208351135254,32.7080001831055,20.6359996795654,12.07200050354,26.5086669921875,25.8586673736572,27.2666664123535,24.7040004730225,800,225,3,115.577690124512,558,11,113,50
"111","cirrhosus",-35.7039,-6.97,21.9125003814697,8.85433292388916,71.016471862793,136.562133789062,28.2959995269775,15.8280000686646,12.467999458313,20.6446666717529,22.5526657104492,23.2986660003662,20.0246658325195,1206,176,26,56.9580230712891,484,90,297,439
"112","cirrhosus",-35.0833,-6.805,25.8525009155273,9.21966648101807,76.9331283569336,106.11400604248,31.7240009307861,19.7399997711182,11.984001159668,25.6019992828369,26.4033336639404,26.9166679382324,24.3213329315186,1491,241,28,63.3128509521484,666,98,353,553
"113","cirrhosus",-37.8019,-6.77,26.7299995422363,9.92199993133545,75.0756759643555,110.436447143555,33.5319976806641,20.3159999847412,13.2159976959229,27.0893325805664,26.4860000610352,27.9586658477783,25.2119998931885,775,202,5,109.613395690918,515,16,113,58
"114","cirrhosus",-40.1232,-6.6092,25.0808334350586,10.3570003509521,75.334587097168,104.796699523926,32.3160018920898,18.568000793457,13.7480010986328,24.6413326263428,25.550666809082,26.4160003662109,23.8533325195312,641,180,3,106.738861083984,414,15,63,79
"115","cirrhosus",-75.1859,-6.3906,27.066333770752,10.3453330993652,85.0487747192383,35.0903053283691,33.0999984741211,20.935998916626,12.1639995574951,27.0773334503174,26.6373329162598,27.4599990844727,26.6199989318848,2155,278,86,32.8013000488281,699,307,626,366
